ID;Nombre;Marca;Especie;Etapa_de_Vida;PB(%);EE(%);Ash(%);Humedad(%);FC(%);ENA(%);FC_MS (%);GE(kcal);DE(kcal);ME(kcal);Precio_USD_kg;Ingredientes (5 primeros de la lista);Fuente_PB;Fuente_EE;Fuente_FC;Otros
86;PUPPY MINI;Gosbi;Canino ;Puppy mini;32,00;18,00;7,50;8,50;2,50;31,50;2,73;491,00;428,61;395,33;13,00;Pollo deshidratado (28%), arroz (16%), pescado deshidratado (10%), cordero deshidratado (8%) y grasa de pollo ;"Pollo deshidratado; pescado deshidratado; cordero deshidratado";grasa de pollo;arroz;—
87;GOSBI Life Croc with Lamb;Gosbi;Canino ;Adulto ;26,00;14,00;7,00;10,00;4,00;39,00;4,44;456,10;386,98;359,94;7,00;Cordero, arroz, cebada, grasa, pulpa remolacha;Cordero;grasa;"arroz; cebada; pulpa remolacha";—
88;GRANPLUS MENU CÃO FILHOTE SABOR CARNE & ARROZ;GranPlus;Canino ;Cachorro;27,00;12,00;8,00;10,00;3,00;40,00;3,33;443,00;382,90;354,82;3,80;Harina de carne y huesos, harina de vísceras de pollo, arroz quebrado, maíz, harina de proteína de cerdo;"Harina de carne y huesos; harina de vísceras de pollo; harina de proteína de cerdo";—;"arroz quebrado; maíz";—
89;Ringo Croquetas;Grupo Bios;Canino ;Adultos razas medianas y grandes;24,00;7,00;10,00;12,00;5,00;42,00;5,68;395,30;328,40;303,44;1,90;Harina de pollo y/o harina de carne y/o harina de sangre, levadura, gluten de maíz, harina de trigo y/o harina de arroz y/o harina de maíz precocido, melaza y/o azúcar;"Harina de pollo y/o harina de carne y/o harina de sangre; gluten de maíz";—;harina de trigo y/o harina de arroz y/o harina de maíz precocido;"levadura; melaza y/o azúcar"
90;Güerpo alimento premium para perros;Güerpo;Canino ;Adulto;25,00;15,00;10,00;12,00;5,00;33,00;5,68;439,30;364,95;338,95;2,76;Harina de aves, maíz, arroz, pasta de soya, pulpa de remolacha;"Harina de aves; pasta de soya";—;"maíz; arroz; pulpa de remolacha";—
91;Happy Dog Sensible Salmon Ireland;Happy Dog Ireland ;Canino ;Adulto;21,00;10,00;7,00;10,00;3,00;49,00;3,33;426,90;368,98;347,14;10,40;Harina integral de avena, Harina de salmon, Cebada, Harina de maiz, Proteina de conejo;"Harina de salmon; Proteina de conejo";—;"Harina integral de avena; Cebada; Harina de maiz";—
92;Hill’s Science Diet;Hill’s Pet Nutrition;Canino;Adulto ;21,00;14,00;5,50;10,00;3,50;46,00;3,89;454,25;389,01;367,17;10,00;Pollo, harina de pollo, trigo integral, maíz, cebada;"Pollo; harina de pollo";—;"trigo integral; maíz; cebada";—
93;Mv Articular;Holliday ;Canino;Cachorros, adultos y gerontes para colaborar con la prevención y tratamiento de problemas osteoarticulares;25,00;12,00;8,00;10,00;4,00;41,00;4,44;439,80;373,15;347,15;10,50;Harina de subproductos de pollo, arroz, aceite de pollo, gluten de maíz, aceite de pescado;"Harina de subproductos de pollo; gluten de maíz";"aceite de pollo; aceite de pescado";arroz;—
94;Mv Cardio;Holliday ;Canino;Cachorros, adultos y gerontes que padecen hipertensión arterial o algun tipo de enfermedad cardíaca ;24,00;12,00;8,00;10,00;5,00;41,00;5,56;438,20;364,83;339,87;9,50;Harina de subproductos de pollo, arroz, gluten de maíz, aceite de pollo, pulpa de remolacha ;"Harina de subproductos de pollo; gluten de maíz";aceite de pollo;"arroz; pulpa de remolacha";—
95;MvGastrointestinal ;Holliday ;Canino;Cachorros y adultos como tratamiento a enfermedades gastrointestinales;28,00;13,00;8,00;10,00;3,00;38,00;3,33;449,90;388,86;359,74;13,38;Harina de subproductos de pollo, arroz, tapioca, aceite de pescado (fuente de omega 3), pulpa de remolacha ;Harina de subproductos de pollo;aceite de pescado (fuente de omega 3);"arroz; tapioca; pulpa de remolacha";—
96;MV Renal;Holliday ;Canino;Adulto y gerontes que padecen enfermedad renal;16,00;14,00;7,00;10,00;3,00;50,00;3,33;440,10;380,39;363,75;17,25;Arroz, harina de subproductos de pollo, aceite de pollo, gluten de maiz, aciete de pescado (fuente de Omega 3);"harina de subproductos de pollo; gluten de maiz";"aceite de pollo; aciete de pescado (fuente de Omega 3)";Arroz;—
97;HOP! PERROS ADULTOS RAZAS PEQUEÑAS;HOP! (Vitalcan);Canino ;Adulto (razas pequeñas);24,00;11,00;9,00;10,00;4,00;42,00;4,44;428,80;363,81;338,85;5,00;Maíz, harina de carne, arvejas, harina de germen de maíz, harina de soja micronizada;"harina de carne; arvejas; harina de soja micronizada";—;"Maíz; harina de germen de maíz";—
98;HOP! PERROS CACHORROS RAZAS PEQUEÑAS;HOP! (Vitalcan);Canino ;Cachorro (razas pequeñas);26,00;12,00;9,00;10,00;4,00;39,00;4,44;437,30;371,02;343,98;5,00;Maíz, harina de carne, arvejas, harina de soja micronizada, harina de pollo;"harina de carne; arvejas; harina de soja micronizada; harina de pollo";—;Maíz;—
99;HOP! PERROS CACHORROS RAZAS MEDIANAS Y GRANDES;HOP! (Vitalcan);Canino ;Cachorro (razas medianas y grandes);26,00;12,00;9,00;10,00;4,00;39,00;4,44;437,30;371,02;343,98;5,00;Maíz, harina de carne, arvejas, harina de soja micronizada, harina de pollo;"harina de carne; arvejas; harina de soja micronizada; harina de pollo";—;Maíz;—
100;INNE Croissance ;INNE Nutrition/ Nutrivet;Canino ;Cachorro ;45,00;16,00;7,50;10,00;2,00;19,50;2,22;495,05;435,75;388,95;7,71;Pollo, cordero, pavo, patata, guisantes;"Pollo; cordero; pavo; guisantes";—;patata;—
101;INNE Energetique ;INNE Nutrition/ Nutrivet;Canino;Adulto activo ;50,00;20,00;8,00;10,00;2,00;10,00;2,22;522,20;459,65;407,65;50,00;Pollo, cordero, pavo, patata, guisantes;"Pollo; cordero; pavo; guisantes";—;patata;—
102;INNE Nutrition ;INNE Pet Food ;Canino;Adulto;42,00;16,00;7,50;10,00;2,00;22,50;2,22;490,25;431,53;387,85;6,72;Pollo, cordero, pavo, patata, guisantes;"Pollo; cordero; pavo; guisantes";—;patata;—
103;Italcan Plus Pollo y  Arroz;Italcol;Canino;Adulto;18,00;6,00;8,00;11,00;5,00;52,00;5,62;392,70;326,59;307,87;1,92;Arroz, harina de pollo, maíz, torta de soya, subproductos de galletería;"harina de pollo; torta de soya";—;"Arroz; maíz";subproductos de galletería
104;JosiDog Regular;Josera;Canino ;Adulto ;22,00;10,00;8,00;10,00;5,00;45,00;5,56;424,40;353,34;330,46;4,80;Cereales, proteína animal, grasa, pulpa remolacha, minerales;proteína animal;grasa;"Cereales; pulpa remolacha";minerales
105;JosiDog Junior;Josera;Canino ;cachorro ;27,00;14,00;8,00;10,00;4,00;37,00;4,44;453,60;384,85;356,77;5,20;Proteína animal, cereales, grasa, vitaminas, minerales;Proteína animal;grasa;cereales;"vitaminas; minerales"
106;JosiDog Active;Josera;Canino ;Adulto activo;27,00;16,00;8,00;10,00;4,00;35,00;4,44;464,20;393,85;365,77;5,50;Cereales, proteína animal, grasa, pulpa remolacha, minerales;proteína animal;grasa;"Cereales; pulpa remolacha";minerales
107;K9 Pro;K9 Pro;Canino ;Adulto;24,00;10,00;8,00;10,00;4,00;44,00;4,44;427,60;362,79;337,83;1,10;Harina de pollo, maíz, arroz, grasa animal, trigo;Harina de pollo;grasa animal;"maíz; arroz; trigo";—
108;Eukanuba;Mars Incorporated;Canino;Adulto ;26,00;16,00;6,50;10,00;3,00;38,50;3,33;468,75;405,16;378,12;8,00;Pollo, harina de pollo, maíz, trigo, grasa animal;"Pollo; harina de pollo";grasa animal;"maíz; trigo";—
109;Mas Ahorro ;Mas Ahorro ;Canino ;Adulto;19,00;7,00;7,00;12,00;5,00;50,00;5,68;399,60;331,97;312,21;1,24;Maíz, afrecho de trigo, harina de carne, pasta de soya, trigo;"harina de carne; pasta de soya";—;"Maíz; afrecho de trigo; trigo";—
110;Max Vita Adulto Strogonoff Carne ao Molho;Max Vita;Canino ;Adulto;21,00;10,00;11,00;12,00;4,00;42,00;4,55;402,30;340,75;318,91;3,50;Harina de vísceras de aves, harina de carne y huesos, maíz integral molido, germen de maíz desengrasado, afrecho de gluten de maíz;"Harina de vísceras de aves; harina de carne y huesos; afrecho de gluten de maíz";—;"maíz integral molido; germen de maíz desengrasado";—
111;Max Vita Adulto Raças Pequenas Buffet Frango & Vegetais;Max Vita;Canino ;Adulto (razas pequeñas);30,00;10,00;10,00;12,00;4,00;34,00;4,55;420,80;356,42;325,22;4,00;Harina de vísceras de aves, maíz integral molido, germen de maíz desengrasado, afrecho de gluten de maíz, arroz quebrado;"Harina de vísceras de aves; afrecho de gluten de maíz";—;"maíz integral molido; germen de maíz desengrasado; arroz quebrado";—
112;Max Vita Adulto Selection Carne & Frango;Max Vita;Canino ;Adulto;21,00;8,00;10,00;12,00;5,00;44,00;5,68;395,80;328,81;306,97;3,50;Harina de vísceras de aves, harina de carne y huesos, grasa de pollo, maíz integral molido, germen de maíz desgrasado;"Harina de vísceras de aves; harina de carne y huesos";grasa de pollo;"maíz integral molido; germen de maíz desgrasado";—
113;Earthborn Holistic;Midwestern Pet Foods;Canino;Adultos ;25,00;9,00;8,00;10,00;7,50;40,50;8,33;423,90;336,08;310,08;7,91;Harina de pollo, guisantes, camote, tapioca, boniato;"Harina de pollo; guisantes";—;"camote; tapioca; boniato";—
114;RIngo Original;Mizooco;Canino ;Adultos;24,00;8,00;9,00;10,00;5,00;44,00;5,56;412,90;343,76;318,80;1,80;Maíz, harina de carne de res y cerdo, torta de soya, arroz, harina de trigo;"harina de carne de res y cerdo; torta de soya";—;"Maíz; arroz; harina de trigo";—
115;RIngo Original;Mizooco;Canino ;Cachorro;28,00;12,00;9,00;10,00;4,00;37,00;4,44;440,50;373,74;344,62;1,75;Maíz, harina de pollo, torta de soya, arroz, harina de trigo;"harina de pollo; torta de soya";—;"Maíz; arroz; harina de trigo";—
116;RINGO + PRO ADULTOS;Mizooco;Canino ;Adultos;24,00;10,00;9,00;10,00;4,00;43,00;4,44;423,50;359,32;334,36;1,50;Harina de carne y/o harina de pollo, levadura, gluten de maíz, harina de trigo y/o arroz molido y/o trigo molido, torta de soya;"Harina de carne y/o harina de pollo; gluten de maíz; torta de soya";—;harina de trigo y/o arroz molido y/o trigo molido;levadura
117;Special dog excellence mini adult salmon ;Monge;Canino ;Mini Adulto;23,00;11,00;7,50;10,00;2,00;46,50;2,22;433,35;381,44;357,52;6,50;Arroz, salmón deshidratado, atún deshidratado, levadura de cerveza, aceite vegetal;"salmón deshidratado; atún deshidratado";aceite vegetal;Arroz;levadura de cerveza
118;Special dog excellence all breeds monoprotein salmon ;Monge;Canino ;Adulto;25,00;13,50;7,50;10,00;3,00;41,00;3,33;449,80;388,78;362,78;5,00;Salmón deshidratado, arroz, maíz, aceite de salmón, trigo;Salmón deshidratado;aceite de salmón;"arroz; maíz; trigo";—
119;SPECIAL DOG EXCELLENCE ALL BREEDS MONOPROTEIN BEEF;MONGE;Canino ;Adultos ;25,00;12,00;8,00;10,00;3,00;42,00;3,33;439,80;380,13;354,13;11,50;Carne de res deshidratada (24%), maíz, arroz, grasa animal, trigo ;Carne de res deshidratada (24%);grasa animal;"maíz; arroz; trigo";—
120;SPECIAL DOG EXCELLENCE MEDIUM ADULT CHIKEN;MONGE;Canino ;Adultos medianos ;28,00;18,00;7,00;10,00;1,70;35,30;1,89;480,50;425,24;396,12;10,16;Pollo (28%), arroz (18%), maíz, trigo y proteínas animales hidrolizadas;"Pollo; proteínas animales hidrolizadas";—;"arroz; maíz; trigo";—
121;Monge super premium;Monge;Canino ;Adultos ;26,00;14,00;7,00;10,00;2,50;40,50;2,78;456,10;397,85;370,81;7,75;Cordero deshidratado, arroz, aceite de pollo purificado, pulpa de remolacah deshidratada;Cordero deshidratado;aceite de pollo purificado;"arroz; pulpa de remolacah deshidratada";—
122;Dog Star;MOR Petfood;Canino ;Adultos;21,00;8,00;10,00;12,00;6,00;43,00;6,82;395,80;322,38;300,54;1,33;Maíz y/o trigo, harina aviar y/o carne, suproductos de arroz (arroz quebrado y/o polvillo de arroz), harina de soya, grasa de pollo y/o cebo de res;"harina aviar y/o carne; harina de soya";grasa de pollo y/o cebo de res;"Maíz y/o trigo; suproductos de arroz (arroz quebrado y/o polvillo de arroz)";—
123;Natural Greatness Receta Salvaje;Natural Greatness;Canino ;Adulto;32,00;18,00;8,00;10,00;3,00;29,00;3,33;482,80;417,30;384,02;9,50;Carne deshidratada, papa, guisantes, grasa, frutas;"Carne deshidratada; guisantes";grasa;papa;frutas
124;Natural Greatness Salmón Sensitive M&L;Natural Greatness;Canino ;Adulto (sensible);30,00;17,00;8,00;10,00;3,00;32,00;3,33;474,30;409,95;378,75;30,00;Salmón, papa, guisantes, aceite pescado, fibra;"Salmón; guisantes";aceite pescado;"papa; fibra";—
125;NATURAL VET CARE OBESIDADES CANES PORTES MEDIANOS GRANDES ;Natural Vet Care;Canino;Adultos;30,00;8,50;9,00;9,00;13,00;30,50;14,29;429,25;303,79;272,59;0,27;Carne de pollo con huesos, Carne mecanicamente separada de pollo, higado de pollo,harina de visceras de pollo, fecula de mandioca;"Carne de pollo con huesos; Carne mecanicamente separada de pollo; higado de pollo; harina de visceras de pollo";—;fecula de mandioca;—
126;FORMULA NATURAL VET CARE RENAL CANES;Natural Vet Care;Canino;Adultos ;14,00;17,00;5,50;10,00;3,00;50,50;3,33;458,95;396,69;382,13;1,40;Carne de pollo con huesos, higado de pollo, proteina de ave hidrolizada, arroz partido, harina de corteza de cerdo;"Carne de pollo con huesos; higado de pollo; proteina de ave hidrolizada";—;"arroz partido; harina de corteza de cerdo";—
127;Pro Plan ;Nestlé Purina ;Canino;Adulto razas grandes;26,00;12,00;8,50;12,00;4,00;37,50;4,55;431,15;365,18;338,14;6,33;Carne de pollo congelada, maíz, harina de subproductos de pollo, trigo, arroz;"Carne de pollo congelada; harina de subproductos de pollo";—;"maíz; trigo; arroz";—
128;Pro Plan ;Nestlé Purina ;Canino;Adulto razas pequeñas;29,00;17,00;9,00;12,00;3,00;30,00;3,41;460,40;397,44;367,28;10,67;Carne de Pollo, Arroz, Harina de Subproductos de Pollo, Maíz, Harina de Gluten de Maíz;"Carne de Pollo; Harina de Subproductos de Pollo; Harina de Gluten de Maíz";—;"Arroz; Maíz";—
129;Pro Plan Veterinary Diets;Nestlé Purina PetCare;Canino;Adulto ;23,00;10,00;6,00;10,00;2,50;48,50;2,78;434,20;378,74;354,82;12,00;Arroz, harina de maíz, grasa animal, proteína de soya, pollo;"proteína de soya; pollo";grasa animal;"Arroz; harina de maíz";—
130;NUPEC SENSITIVE;Nupec;canino ;Adultos ;20,00;18,00;7,00;10,00;5,00;40,00;5,56;467,70;389,39;368,59;0,80;Arroz cervecero, harina de pollo, grasa de pollo, concentrado de proteina vegetal,pulpa de remolacha ;"harina de pollo; concentrado de proteina vegetal";grasa de pollo;"Arroz cervecero; pulpa de remolacha";—
131;NUPEC WEIGHT CONTROL RAZAS PEQUEÑAS;Nupec;Canino ;Adultos;25,00;9,00;7,00;10,00;8,00;41,00;8,89;428,00;335,93;309,93;5,00;Harina de carne de res, Arroz, Maiz, carne de pollo, harina de pescado;"Harina de carne de res; carne de pollo; harina de pescado";—;"Arroz; Maiz";—
132;NUTRA VET CARE OSTEOAETRITE CANES;Nutra Vet Care;Canino;Adulto-Senior;25,00;11,00;6,00;9,00;4,00;45,00;4,40;446,80;379,40;353,40;0,60;Carne de pollo con huesos, Carne mecanicamente separada de pollo, higado de pollo,harina de visceras de pollo, almidon de yuca;"Carne de pollo con huesos; Carne mecanicamente separada de pollo; higado de pollo; harina de visceras de pollo";—;almidon de yuca;—
133;NUTRECAN LIGHT;Nutrecan;Canino ;Adulto ;24,00;7,00;8,00;12,00;9,00;40,00;10,23;403,50;308,98;284,02;1,25;Pollo, Arroz, Maíz, Celulosa, Fibra;Pollo;—;"Arroz; Maíz; Celulosa; Fibra";—
134;Nutrecan Adulto;Nutrecan;Canino ;Adulto;18,00;7,00;10,00;12,00;5,00;48,00;5,68;385,70;320,42;301,70;1,80;Harina de carne, maíz, subproductos, grasa animal, minerales;Harina de carne;grasa animal;maíz;"subproductos; minerales"
135;Güerpo Experience Edad Avanzada Todas Las Razas;Nutrialbex;Canino ;Adultos ;23,00;10,00;8,50;12,00;4,00;42,50;4,55;415,75;352,14;328,22;3,66;Harina de pollo, maiz amarillo, arroz partido, trigo integral, pasta de soya ;"Harina de pollo; pasta de soya";—;"maiz amarillo; arroz partido; trigo integral";—
136;Nutrion;Nutrion;Canino ;Adulto;18,00;7,00;10,00;10,00;4,10;50,90;4,56;393,90;333,58;314,86;6,95;"Harina de Carne y/o Harina de Pollo y/o Huevo Deshidratado; Gluten de Maíz; Soya Extruída";"Harina de Carne y/o Harina de Pollo y/o Huevo Deshidratado; Gluten de Maíz; Soya Extruída";—;—;—
137;Super Premium ;Nutrivet;Canino ;Adultos muy pequeños;28,00;18,00;6,50;10,00;2,50;35,00;2,78;482,55;420,92;391,80;8,17;Pollo, arroz, aceite y grasa (100% volátil), proteína de ave deshidratada, harina de gluten de maíz;"Pollo; proteína de ave deshidratada; harina de gluten de maíz";aceite y grasa (100% volátil);arroz;—
138;Super Premium cordero y arroz;Nutrivet;Canino ;Adulto;32,00;18,00;6,50;10,00;2,50;31,00;2,78;488,95;426,50;393,22;4,67;Cordero (mín, 30%), arroz, aceite y grasa (100% volátil), proteína de ave deshidratada, gluten de maíz;"Cordero (mín, 30%); proteína de ave deshidratada; gluten de maíz";aceite y grasa (100% volátil);arroz;—
139;Old Prince Novel Cordero y Arroz Adultos Medium & Large;Old Prince;Canino;Adulto;26,00;14,00;8,00;10,00;3,00;39,00;3,33;452,00;390,68;363,64;4,67;Harina de cordero,arroz, gluten de maiz,germe de maiz,grasa de pollo;"Harina de cordero; gluten de maiz";grasa de pollo;"arroz; germe de maiz";—
140;Old Prince Novel Cordero y Arroz Cachorros;Old Prince;Canino;cachorro ;28,00;16,00;8,50;10,00;3,00;34,50;3,33;463,75;400,83;371,71;3,90;Harina de cordero,arroz, gluten de maiz,grasa de pollo,maíz ;"Harina de cordero; gluten de maiz";grasa de pollo;"arroz; maíz";—
141;Old Prince Novel Cordero Y Arroz Perros Adultos Light;Old Prince;Canino ;Adultos todas las razas;32,00;6,00;7,00;12,00;7,00;36,00;7,95;415,10;331,35;298,07;11,96;Harina de cordero, arroz integral, arveja, gluten de maíz, germen de maíz desgrasado;"Harina de cordero; arveja; gluten de maíz";—;"arroz integral; germen de maíz desgrasado";—
142;High Protein;Pedigree;Canino ;Adulto ;27,00;10,00;10,00;12,00;4,00;37,00;4,55;416,00;352,35;324,27;6,12;Maíz, Trigo, Cebada, Harina de pollo, Harina de carne y hueso de res ;"Harina de pollo; Harina de carne y hueso de res";—;"Maíz; Trigo; Cebada";—
143;Pedigree Adulto;Pedigree;Canino ;Adulto;21,00;10,00;9,00;12,00;5,00;43,00;5,68;410,50;341,02;319,18;2,20;Harina de carne, maíz, trigo, grasa animal, vitaminas;Harina de carne;grasa animal;"maíz; trigo";vitaminas
144;Poema Adulto Salmón;Poema;Canino;Adulto;30,00;15,00;7,00;9,00;3,00;36,00;3,30;471,90;408,13;376,93;14,00;Harina de salmón, arroz, maíz, grasa animal, soya;"Harina de salmón; soya";grasa animal;"arroz; maíz";—
145;Poema Cachorro Salmón;Poema;Canino;Cachorro;30,00;16,00;7,00;10,00;3,00;34,00;3,33;473,10;408,92;377,72;15,00;Harina de salmón, arroz, maíz, grasa animal, subproductos;Harina de salmón;grasa animal;"arroz; maíz";subproductos
146;Poema Cachorro Pollo;Poema;Canino;Cachorro;30,00;16,00;7,00;10,00;3,00;34,00;3,33;473,10;408,92;377,72;14,00;Harina de pollo, arroz, maíz, grasa animal, subproductos;Harina de pollo;grasa animal;"arroz; maíz";subproductos
147;Poema alimento super primium;Poema ;Canino ;Adulto Razas pequenas;30,00;17,00;8,50;9,00;3,00;32,50;3,30;476,35;411,97;380,77;9,16;Hidrolizado de pollo, arroz entero, hidrolizado de salmon, aceite estabilizado de pollo;"Hidrolizado de pollo; hidrolizado de salmon";aceite estabilizado de pollo;arroz entero;—
148;Poema alimento super primium;Poema ;Canino ;Adultos ;30,00;15,00;7,00;9,00;3,00;36,00;3,30;471,90;408,13;376,93;7,75;Hidrolizado de salmón entero, arroz entero, aceite de salmón, sardinas, avena;"Hidrolizado de salmón entero; sardinas";aceite de salmón;"arroz entero; avena";—
149;Poema alimento super primium cachorro;Poema ;Canino ;Cachorro ;33,00;17,00;7,00;9,00;3,00;31,00;3,30;487,30;421,44;387,12;7,75;Hidrolizado de salmón entero, arroz entero, aceite de salmon y sardinas, avena, almidón de mandioca;"Hidrolizado de salmón entero; sardinas";aceite de salmon;"arroz entero; avena; almidón de mandioca";—
150;Premier ;Premier ;Canino ;Adulto Obeso / Light;27,00;9,00;7,50;12,00;8,00;36,50;9,09;420,95;329,18;301,10;6,00;Harina de pollo, arroz, fibra vegetal, grasa de pollo, pulpa de remolacha;Harina de pollo;grasa de pollo;"arroz; fibra vegetal; pulpa de remolacha";—
151;Puppy Large Breed;Premium;Canino ;cachorro ;28,00;14,00;9,00;10,00;4,00;35,00;4,44;451,10;382,73;353,61;5,00;Harina de pollo, maíz, arroz, grasa, minerales;Harina de pollo;grasa;"maíz; arroz";minerales
152;Pro Pac Ultimate Lamb Meal & Rice;Pro Pac;Canino;Adulto;22,00;12,00;7,00;10,00;6,00;43,00;6,67;439,10;358,60;335,72;20,00;Harina de cordero, arroz, cebada, grasa de pollo, pulpa de remolacha;Harina de cordero;grasa de pollo;"arroz; cebada; pulpa de remolacha";—
153;Pro Pac Ultimate Puppy Chicken Meal;Pro Pac;Canino;Cachorro;30,00;20,00;8,00;10,00;4,00;28,00;4,44;490,20;415,91;384,71;22,00;Harina de pollo, arroz, cebada, grasa de pollo, pulpa de remolacha;Harina de pollo;grasa de pollo;"arroz; cebada; pulpa de remolacha";—
154;Pro Pac;Pro Pac;Canino ;Adulto;22,00;12,00;9,30;10,00;5,50;41,20;6,11;429,67;354,31;331,43;3,61;Cordero, arroz integral, pescado blanco, pulpa de remolacha, linaza;"Cordero; pescado blanco";—;"arroz integral; pulpa de remolacha";linaza
155;Ultimates;Pro Pac Ultimates;Canino ;Adulto;22,00;12,00;9,30;10,00;5,50;41,20;6,11;429,67;354,31;331,43;7,10;Harina de cordero, arroz integral, guisantes, arroz, almidón de guisantes;"Harina de cordero; guisantes";—;"arroz integral; arroz; almidón de guisantes";—
156;ProCan;Pronaca;Canino ;Adultos razas medianas y grandes;21,00;8,00;8,00;10,00;4,00;49,00;4,44;412,20;349,73;327,89;1,68;Maíz, harina de pollo, harina de carne y hueso, coproductos de procesamiento de aves, coproductos de trigo;"harina de pollo; harina de carne y hueso; coproductos de procesamiento de aves";—;"Maíz; coproductos de trigo";—
157;Compa Sabor a Pollo;Pronaca;Canino ;Adultos para todas las razas;18,00;6,00;8,00;12,00;5,00;51,00;5,68;388,60;322,83;304,11;1,32;Maiz y derivados, harina de pollo, harina de Visceras, salvado de trigo, soya y derivados;"harina de pollo; harina de Visceras; soya y derivados";—;"Maiz y derivados; salvado de trigo";—
158;ProCan Equilibrio;Pronaca;Canino;Adulto todas las razas ;23,00;8,00;7,00;10,00;5,00;47,00;5,56;419,50;349,26;325,34;2,62;Maíz, coproductos de procesamiento de aves, coproductos de trigo, pasta de soya, coproductos de arroz ;"coproductos de procesamiento de aves; pasta de soya";—;"Maíz; coproductos de trigo; coproductos de arroz";—
159;ProCan ;Pronaca;Canino;Senior;22,00;7,00;7,00;12,00;5,00;47,00;5,68;404,40;335,96;313,08;2,83;Pollo, carne, cereales, glucosamina y condroitina;"Pollo; carne";—;cereales;glucosamina y condroitina
160;Compa;Pronaca;Canino;Cachorros;20,00;8,00;10,00;12,00;4,00;46,00;4,55;394,20;333,89;313,09;1,13;Maíz y derivados, trigo y derivados, harina de pollo, harina de visceras, soya y derivados;"harina de pollo; harina de visceras; soya y derivados";—;"Maíz y derivados; trigo y derivados";—
161;LADRINA sabor carne a la parilla con cereales y leche para cachorros;PURINA;Canino;Cachorro;25,00;11,00;9,00;12,00;5,00;38,00;5,68;422,20;350,74;324,74;6,67;Maíz/Harina de carne/Arroz/Grasa animal/Suero de leche en polvo;"Harina de carne; Suero de leche en polvo";Grasa animal;"Maíz; Arroz";—
162;LADRINA sabor a pollo a la brasa con vegetales;PURINA;Canino;Adulto;19,00;7,50;9,50;12,00;6,50;45,50;7,39;392,00;316,10;296,34;4,78;Maíz/Harina de subproductos de pollo/Trigo/Grasa animal/Subproductos de origen veguetal;Harina de subproductos de pollo;Grasa animal;"Maíz; Trigo";Subproductos de origen veguetal
163;EXCELLENT adult maintenance;PURINA;Canino;Adulto;23,00;10,00;9,00;12,00;4,00;42,00;4,55;413,70;350,40;326,48;14,33;Maíz/Harina de soya/Arro/Harina de carne/Hueso bovino,;"Harina de soya; Harina de carne; Hueso bovino";—;"Maíz; Arro";—
164;LABRINA sabor carne a la parrilla con vegetales;PURINA;Canino;Adulto;25,00;11,00;9,00;12,00;5,00;38,00;5,68;422,20;350,74;324,74;8,65;Maíz/Harina de subproductos de carne/Trigo/Grasa animal/Subproductos de origen veguetal;Harina de subproductos de carne;Grasa animal;"Maíz; Trigo";Subproductos de origen veguetal
165;Dog Chow Adulto;Purina Dog Chow;Canino ;Adulto ;21,00;10,00;8,00;12,00;4,00;45,00;4,55;414,60;351,17;329,33;2,40;Harina de carne, maíz, arroz, grasa animal, soya;"Harina de carne; soya";Grasa animal;"maíz; arroz";—
166;PUPPY SMALL BREED;Purina pro plan;Canino ;Cachorros;28,00;17,00;7,00;12,00;3,00;33,00;3,41;467,00;403,14;374,02;8,00;Pollo, harina de proteina de maiz , subproducto de ave ,arroz ,trigo ;"Pollo; harina de proteina de maiz";—;"arroz; trigo";subproducto de ave
167;PUPPY MINI;Purina pro plan;canino ;Cachorros rasas pequeñas;30,00;20,00;7,00;12,00;3,00;28,00;3,41;486,10;419,63;388,43;7,50;pollo,glutende maiz,arroz,trigo,subproducto de ave;"pollo; glutende maiz";—;"arroz; trigo";subproducto de ave
168;HAPPY DOG FIT & VITAL MINI ADULT;Purina pro plan;Canino;Adulto Razas pequenas;26,00;26,00;7,00;12,00;2,00;27,00;2,27;511,50;449,86;422,82;7,50;pollo,glutende maiz,arroz,trigo,subproducto de ave;"pollo; glutende maiz";—;"arroz; trigo";subproducto de ave
169;Pro Plan Adult Dog Razas Medianas;Purina Pro Plan ;Canino ;Adulto ;26,00;15,00;8,50;12,00;3,00;35,50;3,41;447,05;385,92;358,88;7,17;Carne de pollo congelada, maíz, harina de subproductos de pollo, trigo, arroz;"Carne de pollo congelada; harina de subproductos de pollo";—;"maíz; trigo; arroz";—
170;Ringo Vitality Adulto;Ringo;Canino ;Adulto ;20,00;9,00;9,00;12,00;5,00;45,00;5,68;403,60;335,29;314,49;2,00;Harina de carne, maíz, trigo, grasa animal, vitaminas;Harina de carne;grasa animal;"maíz; trigo";vitaminas
171;Ringo Premium Adultos Para Razas Medianas y Grandes;Ringo;Canino ;Adulto ;24,00;10,00;9,00;10,00;4,00;43,00;4,44;423,50;359,32;334,36;2,16;Harina de pollo, Levadura, Gluten de maíz, Arroz molido, Torta de soya ;"Harina de pollo; Gluten de maíz; Torta de soya";—;Arroz molido;Levadura
172;SHIH TZU puppy;ROYAL CANIN;Canino;Cachorro;28,00;18,00;7,60;10,00;1,50;34,90;1,67;478,04;424,58;395,46;27,33;Proteína de ave deshidratadas/Arroz/Maíz/Grasas animales/Aislado de proteínas vguetales;"Proteína de ave deshidratadas; Aislado de proteínas vguetales";Grasas animales;"Arroz; Maíz";—
