ID;Nombre;Marca;Especie;Etapa_de_Vida;PB(%);EE(%);Ash(%);Humedad(%);FC(%);ENA(%);FC_MS (%);GE(kcal);DE(kcal);ME(kcal);Precio_USD_kg;Ingredientes (5 primeros de la lista);Fuente_PB;Fuente_EE;Fuente_FC;Otros
246;Ownat Care Urinary;Ownat;Felino;Adulto;33,00;14,00;7,00;8,00;3,50;32,00;3,80;465,25;399,00;364,68;26,90;Pollo fresco, arroz integral, cerdo deshidratado, salmon deshidratado, raíces de yuca;"Pollo fresco; cerdo deshidratado; salmon deshidratado";—;"arroz integral; raíces de yuca";—
247;Ownat Care Wieght Control;Ownat;Felino;Adulto;37,00;9,50;7,50;8,00;8,00;30,00;8,70;456,00;359,17;320,69;41,90;Pavo fresco, pollo deshidratado, cerdo deshidratado, hidrolizado de salmon, batata deshidratada;"Pavo fresco; pollo deshidratado; cerdo deshidratado; hidrolizado de salmon";—;batata deshidratada;—
248;Monello Cat Adultos Salmón y Pollo;Monello;Felino;Adulto (+1 año);31,00;12,00;7,50;10,00;3,00;36,50;3,33;451,45;390,20;357,96;7,25;Harina de salmón, aceite de salmón, MOS, hexametafosfato de sodio, extracto de yucca schidigera;Harina de salmón;aceite de salmón;—;"MOS; hexametafosfato de sodio; extracto de yucca schidigera"
249;Monello Cat Gatitos;Monello;Felino;Gatitos;33,00;12,00;8,00;10,00;3,50;42,50;3,89;489,50;419,20;384,88;35,40;Harina de subproductos avícolas, harina de salmón, granos de maíz, arroz quebrado, salvado de soya,;"Harina de subproductos avícolas; harina de salmón";—;"granos de maíz; arroz quebrado; salvado de soya";—
250;Monello Cat Adulto Bolas de Pelo;Monello;Felino;Adulto;31,00;12,00;7,50;10,00;5,50;34,00;6,11;451,45;372,27;340,03;28,50;Harina de vísceras de ave, harina de salmón, maíz, arroz quebrado, harina de soya;"Harina de vísceras de ave; harina de salmón; harina de soya";—;"maíz; arroz quebrado";—
251;Cat Chow Esterilizados;Purina;Felino ;Adulto/esterilizado;36,00;12,00;9,50;12,00;6,00;24,50;6,82;443,05;360,86;323,42;10,75;Harinas proteicas origen animal, harinas de pescado, harina de alga, maíz, concentrado proteico ;"Harinas proteicas origen animal; harinas de pescado; harina de alga; concentrado proteico";—;maíz;—
252;Pro Plan Urinary;Purina;Felino ;Adultos;40,00;11,00;9,00;12,00;4,00;24,00;4,55;446,20;377,93;336,33;27,00;Gluten de maíz, pollo, harina subproductos pollo, arroz cervecero, maíz amarillo molido;"Gluten de maíz; pollo; harina subproductos pollo";—;"arroz cervecero; maíz amarillo molido";—
253; Royal Canin Sterilised Kitten;Royal canin;Felino ;Cachorros esterilizados;34,00;12,00;7,40;8,00;9,80;28,80;10,65;464,86;353,14;317,78;42,90;Proteína de ave de corral deshidratada, gluten de trigo, fibras vegetales, harina de trigo, grasas animales;"Proteína de ave de corral deshidratada; gluten de trigo";grasas animales;"fibras vegetales; harina de trigo";—
254;Royal Canin Diabetic so Index ;Royal canin;Felino ;Adultos ;46,00;12,00;7,90;8,00;4,10;22,00;4,46;482,01;408,88;361,04;47,90;Proteína de ave deshidratada, cebada, gluten de trigo, gluten de maíz, aislado de proteína de soja;"Proteína de ave deshidratada; gluten de trigo; gluten de maíz; aislado de proteína de soja";—;cebada;—
255;PremieR Esterilizado;PremieR pets;Felino ;adulto/esterilizado;38,00;12,00;8,00;10,00;4,50;27,50;5,00;460,60;387,13;347,61;24,50;Harina de víceras pollo, harina chicharrón cerdo, gluten maíz, huevo en polvo, proteína soja;"Harina de víceras pollo; harina chicharrón cerdo; gluten maíz; huevo en polvo; proteína soja";—;—;—
256;Alimento para gatos;Supermaxi;Felino ;Adulto;29,00;10,50;9,00;12,00;2,50;37,00;2,84;425,95;371,16;341,00;1,65;Harina de pollo, Arrocillo, Maíz, Coproductos de trigo, Trigo;Harina de pollo;—;"Arrocillo; Maíz; Coproductos de trigo; Trigo";—
257;Alimento para gatos ;La Original;Felino ;Adultos y Cachorros;26,00;6,50;8,00;9,00;4,50;46,00;4,95;416,35;350,27;323,23;1,29;Trigo, maíz, harina de pollo, harina de pescado, pasta de soya;"harina de pollo; harina de pescado; pasta de soya";—;"Trigo; maíz";—
258;Royal Canin Kitten;Royal Canin;Felino;Cachorros (4–12 meses);35,00;17,00;7,50;7,80;3,40;29,30;3,69;493,37;423,94;387,54;15,00;Proteína de ave deshidratada, arroz, gluten de trigo, grasa animal, maíz;"Proteína de ave deshidratada; gluten de trigo";grasa animal;"arroz; maíz";—
259;Pro Plan Adult Complete;Purina;Felino;Adulto;32,00;15,00;7,50;8,00;3,00;34,50;3,26;477,15;412,91;379,63;14,00;Pollo, arroz, gluten de maíz, harina de subproductos de pollo, maíz;"Pollo; gluten de maíz; harina de subproductos de pollo";—;"arroz; maíz";—
260;Royal Canin Fit 32;Royal canin;Felino;Adulto;32,00;15,00;7,50;8,00;4,00;33,50;4,35;477,15;405,49;372,21;15,00;Proteína de ave deshidratada, maíz, harina de maíz, trigo, grasa animal;Proteína de ave deshidratada;grasa animal;"maíz; harina de maíz; trigo";—
261;Hill's Science Diet Adult Indoor Cat;Hill's;Felino ;Adulto;30,00;20,00;6,50;8,00;3,00;32,50;3,26;504,55;436,62;405,42;18,00;Pollo, arroz integral, maíz, harina de gluten de maíz, grasa de pollo;"Pollo; harina de gluten de maíz";grasa de pollo;"arroz integral; maíz";—
262;Alimento para gatos;Aki;Felino ;Gatitos a partir de 3 semanas;29,00;10,50;9,00;12,00;2,50;37,00;2,84;425,95;371,16;341,00;3,20;Harina de pollo, Arrocillo, Maíz, Coproductos de trigo, Trigo;Harina de pollo;—;"Arrocillo; Maíz; Coproductos de trigo; Trigo";—
263;Purina One Adultos Pollo y Salmón;Purina;Felino ;Adultos;34,00;14,00;2,80;12,00;3,00;34,20;3,41;477,92;412,56;377,20;17,90;Carne de pollo y salmón congelados, maíz, harina de subproductos de pollo, trigo, harina de gluten de maíz;"Carne de pollo y salmón congelados; harina de subproductos de pollo; harina de gluten de maíz";—;"maíz; trigo";—
264;Pro Cat Chow Urinary;Purina;Felino ;Adulto ;32,00;11,00;8,00;12,00;2,50;34,50;2,84;437,50;381,23;347,95;13,00;Cereales, carnes y subproductos animales, extractos de proteínas vegetales, aceites y grasas, subproductos de origen vegetal,;"carnes y subproductos animales; extractos de proteínas vegetales";aceites y grasas;Cereales;subproductos de origen vegetal
265;Pro Cat Chow Hairball;Purina;Felino ;Adulto;30,00;9,50;8,00;12,00;4,70;35,80;5,34;426,35;356,27;325,07;11,00;Harina de subproductos de pollo, maíz integral, harina de soya, trigo integral, gluten de maíz,;"Harina de subproductos de pollo; harina de soya; gluten de maíz";—;"maíz integral; trigo integral";—
266;Pro Cat Chow Sensitive;Purina;Felino ;Adulto;34,00;11,00;8,00;12,00;5,00;30,00;5,68;440,70;366,11;330,75;13,00;Harina de subproductos de ave (pollo o pavo), harina de proteína de maíz, harina de soya, arroz, maíz molido,;"Harina de subproductos de ave (pollo o pavo); harina de proteína de maíz; harina de soya";—;"arroz; maíz molido";—
267;Mimaskot;Molitalia;Felino ;Adulto;30,00;10,00;2,90;10,00;3,00;44,10;3,33;458,11;395,96;364,76;2,50;Maìz, harina de subproductos de aves, arroz y/o subproductos de arroz, grasas de aceite de animal, harina de carne y hueso;"harina de subproductos de aves; harina de carne y hueso";grasas de aceite de animal;"Maìz; arroz y/o subproductos de arroz";—
268;Purina One Kitten;Purina;Felino ;Cachorro;40,00;19,00;8,00;12,00;2,50;18,50;2,84;492,70;429,33;387,73;20,00;Pollo, harina de gluten de maíz, arroz, grasa de res conservada con tocoferoles mixtos, harina de soya;"Pollo; harina de gluten de maíz; harina de soya";grasa de res conservada con tocoferoles mixtos;arroz;—
269;Alimento para gatos cachorros, adultos, todas las razas;El artesanal;Felino ;Todas las edades a partir de 3 semanas;26,00;6,50;8,00;9,00;4,50;46,00;4,95;416,35;350,27;323,23;3,60;Trigo, maíz, harina de pollo, harina de pescado, pasta de soya;"harina de pollo; harina de pescado; pasta de soya";—;"Trigo; maíz";—
